slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.312421700000002,8.526254900000000,Adliswil,8134,CH,r,Sihl,adliswil,sihl,False,0
sihl_horgen_bucherf,Sihl_Horgen_BucherF,47.272694600000001,8.553682100000000,Horgen,8810,CH,r,Sihl,horgen,sihl,False,0
sihl_leimbach_kruegerm,sihl_leimbach_kruegerm,47.325436099999997,8.519119500000000,Zurich,8041,CH,r,Sihl,zurich,sihl,False,0
sihl_menzingen_kucharska_magdalena,Sihl_Menzingen_Kucharska_Magdalena,47.191501199999998,8.618421400000001,Menzingen,6313,CH,r,Sihl,menzingen,sihl,False,0
sihl_zuerich_eggerskoehlingera,sihl_zuerich_eggerskoehlingera,47.381898100000001,8.538327900000001,Zurich,8005,CH,r,Sihl,zurich,sihl,False,0
sihl_zuerich_eichenbergerd,Sihl_zuerich_eichenbergerD,47.339588300000003,8.516696500000000,Zurich,8041,CH,r,Sihl,zurich,sihl,True,0
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.373149499999997,8.532369800000000,Zurich,8001,CH,r,Sihl,zurich,sihl,False,4
sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.343055399999997,8.518612200000000,Zurich,8041,CH,r,Sihl,zurich,sihl,False,0
sitter_gaiserwald_buehlerf,sitter_gaiserwald_buehlerf,47.425160900000002,9.340103700000000,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False,0
sitter_stgallen_jennya,Sitter_St.Gallen_JennyA,47.410242400000001,9.320376000000000,St Gallen,9014,CH,r,Sitter,st-gallen,sitter,False,0
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.433291699999998,9.358074700000000,St Gallen,9000,CH,r,Sitter,st-gallen,sitter,False,0
sorne_birse_wwfjura,sorne_birse_WWFJura,47.370986799999997,7.360909900000000,Delémont,2800,CH,r,Birs,delemont,birs,False,0
spackmatt,Späckmatt,47.223748999999998,7.576711000000000,Luterbach,4542,CH,r,Aare,luterbach,aare,True,0
strandbeiz,Strandbeiz,47.215861699999998,8.843098400000001,Jona city,8645,CH,l,Zurichsee,jona-city,zurichsee,True,8
strandboden-biel,Strandboden-Biel,47.132510000000003,7.233142000000000,Biel,2503,CH,l,Bielersee,biel,bielersee,True,6
sundbach-strand,Sundbach strand,46.684386000000003,7.794768000000000,Beatenberg,3803,CH,l,Thunersee,beatenberg,thunersee,True,12
thun-strandbad,Thun Strandbad,46.739939000000000,7.633520000000000,Thun,3504,CH,l,Thunersee,thun,thunersee,True,10
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.704436800000003,7.657882400000000,Spiez,3646,CH,l,Thunersee,spiez,thunersee,True,5
thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.524072599999997,9.198334700000000,Kradolf Schönenberg,9214,CH,r,Thur,kradolf-schonenberg,thur,False,0
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil,9500,CH,r,Thur,wil,thur,False,0
tiger-duck-beach,Tiger duck beach,46.518256000000001,6.582546000000000,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,2
tolochenaz,Tolochenaz,46.497509500000000,6.482874700000000,Tolochenaz,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,4
tschilljus,Tschilljus,46.304398999999997,7.580262000000000,Salgesch,3970,CH,r,Rhône,salgesch,rhone,True,0
toss_bauma_kurthe,Töss_Bauma_KurthE,47.370175699999997,8.867824900000000,Bauma,8494,CH,r,Töss,bauma,ti12ss,False,0
